"interog. pron.; m./f. nom. sg.","quis","interog. pron.; m. nom. sg."
"interog. pron.; m./f. gen. sg.","cuius","interog. pron.; m. gen. sg."
"interog. pron.; m./f. dat. sg.","cui","interog. pron.; m. dat. sg."
"interog. pron.; m./f. acc. sg.","quem","interog. pron.; m. acc. sg."
"interog. pron.; m./f. abl. sg.","quō","interog. pron.; m. abl. sg."
"interog. pron.; n. nom. sg.","quid","interog. pron.; n. nom. sg."
"interog. pron.; n. gen. sg.","cuius","interog. pron.; n. gen. sg."
"interog. pron.; n. dat. sg.","cui","interog. pron.; n. dat. sg."
"interog. pron.; n. acc. sg.","quid","interog. pron.; n. acc. sg."
"interog. pron.; n. abl. sg.","quō","interog. pron.; n. abl. sg."
"interog. pron.; m. nom. pl.","quī","interog. pron.; m. nom. pl."
"interog. pron.; m. gen. pl.","quōrum","interog. pron.; m. gen. pl."
"interog. pron.; m. dat. pl.","quibus","interog. pron.; m. dat. pl."
"interog. pron.; m. acc. pl.","quōs","interog. pron.; m. acc. pl."
"interog. pron.; m. abl. pl.","quibus","interog. pron.; m. abl. pl."
"interog. pron.; f. nom. pl.","quae","interog. pron.; f. nom. pl."
"interog. pron.; f. gen. pl.","quārum","interog. pron.; f. gen. pl."
"interog. pron.; f. dat. pl.","quibus","interog. pron.; f. dat. pl."
"interog. pron.; f. acc. pl.","quās","interog. pron.; f. acc. pl."
"interog. pron.; f. abl. pl.","quibus","interog. pron.; f. abl. pl."
"interog. pron.; n. nom. pl.","quae","interog. pron.; n. nom. pl."
"interog. pron.; n. gen. pl.","quōrum","interog. pron.; n. gen. pl."
"interog. pron.; n. dat. pl.","quibus","interog. pron.; n. dat. pl."
"interog. pron.; n. acc. pl.","quae","interog. pron.; n. acc. pl."
"interog. pron.; n. abl. pl.","quibus","interog. pron.; n. abl. pl."
