"lingua, linguae",f. 1st toung; language,"lingua, linguae"
"ferōx, ferōcis","fierce, savage","ferōx, ferōcis"
"fidēlis, fidēle","faithful, loyal","fidēlis, fidēle"
"geminus, gemina, geminum",twin,"geminus, gemina, geminum"
"sapiēns, sapientis","wise, judicious","sapiēns, sapientis"
"ultimus, ultima, ultimum","farthest, extreme; last, final","ultimus, ultima, ultimum"
dehinc,"then, next",dehinc
hīc,here,hīc
"āit, āiunt","defective verb; he says, they say, assert","āit, āiunt"
"crēdō, crēdere, crēdidī, crēditum","+acc. or + dat.; believe, trust","crēdō, crēdere, crēdidī, crēditum"
"iaceō, iacēre, iacuī",to lie; lie prostrate; lie dead,"iaceō, iacēre, iacuī"
"negō, negāre, negāvī, negātum","to deny, say that... not","negō, negāre, negāvī, negātum"
"nesciō, nescīre, nescīvī, nescītum","to not know, be ignorant","nesciō, nescīre, nescīvī, nescītum"
"nūntiō, nūntiāre, nūntiāvī, nūntiātum","to announce, report, relate","nēntiõ, nūntiāre, nūntiāvī, nūntiātum"
"patefaciō, patefacere, patefēcī, patefactum","to make open, open; disclose, expose","patefaciō, patefacere, patefēcī, patefactum"
"putō, putāre, putāvī, putātum","reckon, suppose, judge, think, imagine","putō, putāre, putāvī, putātum"
"spērō, spērāre, spērāvī, spērātum","to hope, hope for (that)","spērō, spērāre, spērāvī, spērātum"
"suscipiō, suscipere, suscēpī, susceptum",to undertake,"suscipiō, suscipere, suscēpī, susceptum"
