"cēna, cēnae","f. 1st dinner, meal","cēna, cēnae"
"forum, forī","n 2nd marketplace, forum","forum, forī"
"lēx, lēgis","f. 3rd law, statute","lēx, lēgis"
"līmen, līminis",n. 3rd threshold,"līmen, līminis"
"lūx, lūcis",f. 3rd light,"lūx, lūcis"
"mēnsa, mēnsae",f. 1st table,"mēnsa, mēnsae"
"nox, noctis",f. 3rd night,"nox, noctis"
"somnus, somnī",m. 2nd sleep,"somnus, somnī"
"quīdam, quaedam, quiddam","indef. pron. a certain one or thing, someone, something","quīdam, quaedam, quiddam"
quoddam,"gen. cuiusdam, dat. cuidam, etc.; a certain, some",quoddam
"pudīcus, pudīca, pudīcum","modest, chaste","pudīcus, pudīca, pudīcum"
"superbus, superba, superbum","arrogant, overbearing, haughty, proud","superbus, superba, superbum"
"trīstis, trīste","sad, sorrowful; joyless, grim, severe","trīstis, trīste"
"turpis, turpe","ugly; shameful, base, disgraceful","turpis, turpe"
"urbānus, urbāna, urbānum","of the city, urban; urbane, elegant","urbānus, urbāna, urbānum"
prae,"+ abl., in front of, before (frequently as a prefix)",prae
"quam","conj. after comparatives, than; adv. before superlatives, as...as possible","quam"
"tantum","only","tantum"
"invītō, invītāre, invītāvī, invītātum","to entertain, invite, summon","invītō, invīāre, invītāvī, invītātum"
