"Ablative of Means/Instrument","by means of what (instrument)?/by what?/with what?; pronoun/noun in the ablative without a preposition; by (means of), with;",""Ablative of Means/Instrument""
"Ablataive of Accompaniment","in whose company/with whom is the action performed?; an ablative with the prepostion cum; with;","Ablataive of Accompaniment"
"Ablataive of Manner","how/in what manner is the action performed?; an ablative (regularly an abstract noun) with the preposition cum; with;","Ablataive of Manner"
